Source RAh RAm RAs DE- DEd DEm DEs Lbol Tbol Class RdiskA e_RdiskA RdiskV e_RdiskV MdiskA e_MdiskA MdiskV e_MdiskV QALMA QVLA SpIdxAV e_SpIdxAV SpIdxV e_SpIdxV Flag RA_deg DEC_deg FieldA A_Flux A_e_Flux A_PFlux A_RMS A_dBmaj A_dBmin A_dPA A_RA_deg A_DEC_deg DistanceA FieldV V_Flux V_e_Flux V_PFlux V_RMS V_dBmaj V_dBmin V_dPA V_RA_deg V_DEC_deg DistanceV
HOPS-145-B 5 38 43.203 - 7 1 7.39 1.8 133.7 I 37.4 10.0 "" "" 9.6 2.1 "" "" 55.17 "" "" "" "" "" dn 84.68001249999999 -7.018719444444445 HOPS-145 11.014 0.761 6.05 0.76 0.11 0.1 44.6 84.68001249999999 -7.018719444444445 390.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-147 "" "" 0.0 "" "" "" 0.0 0.1 619.6 Flat "" "" "" "" 1.3 "" "" "" "" "" "" "" "" "" un "" "" HOPS-147 "" "" "" 0.19 "" "" "" "" "" 390.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-148 5 38 39.523 - 6 59 30.23 0.4 262.9 I "" "" "" "" 2.3 0.7 "" "" "" "" "" "" "" "" dn 84.66467916666666 -6.991730555555556 HOPS-148 1.63 0.495 1.221 0.21 0.0 0.0 0.0 84.66467916666666 -6.991730555555556 389.9 "" "" "" "" "" "" "" "" "" "" ""
HOPS-149-A 5 38 40.496 - 6 58 21.99 9.9 484.6 Flat 79.5 10.0 "" "" 155.6 3.3 "" "" 1.74 "" "" "" "" "" dn 84.66873333333332 -6.972775 HOPS-149 289.469 6.206 56.173 0.97 0.24 0.22 49.7 84.66873333333332 -6.972775 389.9 "" "" "" "" "" "" "" "" "" "" ""
HOPS-149-B 5 38 40.472 - 6 58 19.22 9.9 484.6 Flat 39.7 10.0 "" "" 39.1 1.9 "" "" 8.24 "" "" "" "" "" dn 84.66863333333333 -6.972005555555556 HOPS-149 72.822 3.313 32.557 1.02 0.12 0.11 39.6 84.66863333333333 -6.972005555555556 389.9 "" "" "" "" "" "" "" "" "" "" ""
HOPS-15 5 36 19.027 - 5 55 25.4 0.1 342.0 Flat 35.6 10.0 "" "" 8.7 1.1 "" "" 135.25 "" "" "" "" "" dn 84.07927916666665 -5.9237222222222226 HOPS-15 4.58 0.597 2.969 0.22 0.11 0.06 58.7 84.07927916666665 -5.9237222222222226 388.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-150-A 5 38 7.53 - 7 8 29.01 3.2 245.2 Flat 17.5 10.0 "" "" 16.7 0.4 "" "" 31.9 "" "" "" "" "" dn 84.531375 -7.141391666666667 HOPS-150 22.782 0.546 18.972 0.27 0.05 0.03 135.2 84.531375 -7.141391666666667 388.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-150-B 5 38 7.53 - 7 8 32.23 3.2 245.2 Flat 31.0 10.0 "" "" 3.7 0.6 "" "" 125.68 "" "" "" "" "" dn 84.531375 -7.142286111111112 HOPS-150 5.094 0.742 3.146 0.3 0.09 0.07 70.9 84.531375 -7.142286111111112 388.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-152 5 37 58.748 - 7 7 25.73 0.6 53.8 0 17.5 10.0 "" "" 20.7 0.6 204.1 18.4 42.45 "" 2.1 0.07 1.4 0.75 dd 84.49478333333334 -7.123813888888889 HOPS-152 17.168 0.524 14.233 0.26 0.05 0.04 86.0 84.49478333333334 -7.123813888888889 388.0 HOPS-152 0.133 0.012 0.133 7.1 0.0 0.0 0.0 84.49478333333334 -7.12381111111111 388.0
HOPS-153 5 37 57.023 - 7 6 56.27 3.8 39.4 0 129.1 10.0 45.1 10.0 103.4 2.1 612.1 23.0 3.01 0.69 2.3 0.06 2.2 0.33 dd 84.48759583333334 -7.115630555555555 HOPS-153 148.097 2.997 29.824 0.54 0.39 0.1 32.4 84.48759583333334 -7.115630555555555 387.9 HOPS-153 0.638 0.024 0.298 7.4 0.14 0.05 34.1 84.4875875 -7.115622222222222 387.9
HOPS-154 5 38 20.113 - 6 59 4.78 0.1 166.7 I 77.9 30.1 "" "" 6.5 1.9 "" "" 178.25 "" "" "" "" "" dn 84.58380416666667 -6.984661111111111 HOPS-154 2.86 0.867 1.506 0.32 0.24 0.11 12.3 84.58380416666667 -6.984661111111111 388.9 "" "" "" "" "" "" "" "" "" "" ""
HOPS-156 5 38 3.43 - 6 58 15.89 0.2 90.1 I 27.0 10.0 "" "" 18.7 0.9 "" "" 58.2 "" "" "" "" "" dn 84.51429166666667 -6.971080555555556 HOPS-156 11.374 0.569 8.021 0.24 0.08 0.05 24.7 84.51429166666667 -6.971080555555556 388.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-157 5 37 56.574 - 6 56 39.47 3.3 77.6 I 173.9 10.0 "" "" 42.8 2.4 "" "" 6.93 "" "" "" "" "" dn 84.485725 -6.944297222222223 HOPS-157 58.868 3.323 3.133 0.24 0.53 0.46 15.8 84.485725 -6.944297222222223 387.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-158-A 5 37 24.473 - 6 58 32.9 2.3 591.6 Flat 17.1 10.0 "" "" 3.4 0.4 "" "" 175.55 "" "" "" "" "" dn 84.35197083333334 -6.975805555555556 HOPS-158 4.211 0.449 4.116 0.23 0.05 0.01 37.6 84.35197083333334 -6.975805555555556 386.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-158-B 5 37 24.48 - 6 58 32.95 2.3 591.6 Flat 26.2 10.0 "" "" 3.5 0.4 "" "" 153.29 "" "" "" "" "" dn 84.352 -6.975819444444444 HOPS-158 4.389 0.508 3.739 0.23 0.08 0.02 71.1 84.352 -6.975819444444444 386.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-159 5 37 53.764 - 6 47 17.07 0.4 498.4 Flat "" "" "" "" 2.9 0.7 "" "" "" "" "" "" "" "" dn 84.47401666666667 -6.788075 HOPS-159 2.063 0.486 1.507 0.2 0.0 0.0 0.0 84.47401666666667 -6.788075 387.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-16 5 35 0.822 - 5 55 26.07 0.6 361.0 Flat 15.5 10.0 "" "" 26.4 0.8 "" "" 34.42 "" "" "" "" "" dn 83.753425 -5.923908333333333 HOPS-16 21.644 0.67 18.925 0.35 0.05 0.03 147.6 83.753425 -5.923908333333333 388.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-160 5 37 51.056 - 6 47 20.64 1.2 80.4 I 25.0 10.0 7.2 10.0 21.2 0.6 117.5 9.0 31.41 5.69 2.3 0.07 2.5 0.69 dd 84.46273333333333 -6.789066666666667 HOPS-160 21.531 0.571 16.608 0.26 0.08 0.02 70.4 84.46273333333333 -6.789066666666667 387.3 HOPS-160 0.091 0.007 0.077 7.0 0.02 0.02 127.5 84.46272916666668 -6.789063888888888 387.3
HOPS-163-A 5 37 17.277 - 6 36 18.19 0.8 432.3 I 257.5 11.1 "" "" 86.6 3.6 "" "" 4.65 "" "" "" "" "" dn 84.3219875 -6.605052777777777 HOPS-163 78.064 3.302 2.434 0.26 0.79 0.28 60.4 84.3219875 -6.605052777777777 385.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-163-B 5 37 17.329 - 6 36 18.1 0.8 432.3 I "" "" "" "" 1.9 0.3 "" "" "" "" "" "" "" "" dn 84.32220416666668 -6.605027777777777 HOPS-163 1.702 0.252 1.486 0.26 0.0 0.0 0.0 84.32220416666668 -6.605027777777777 385.7 "" "" "" "" "" "" "" "" "" "" ""
HOPS-164 5 37 0.425 - 6 37 10.89 0.5 50.0 0 70.6 10.0 34.3 10.0 133.5 2.8 941.2 35.0 5.06 0.79 2.2 0.06 1.8 0.33 dd 84.25177083333334 -6.619691666666667 HOPS-164 105.502 2.239 29.123 0.46 0.22 0.14 150.8 84.25177083333334 -6.619691666666667 385.0 HOPS-164 0.592 0.022 0.288 6.8 0.1 0.07 141.8 84.25177083333334 -6.619697222222222 385.0
HOPS-165 5 36 23.539 - 6 46 14.52 2.8 96.1 I 96.1 10.0 32.2 10.0 107.3 2.3 523.2 18.4 3.42 0.91 2.4 0.06 2.1 0.28 dd 84.09807916666666 -6.7707 HOPS-165 144.881 3.109 35.197 0.58 0.29 0.12 95.2 84.09807916666666 -6.7707 383.5 HOPS-203 0.519 0.017 0.285 6.12 0.1 0.06 98.7 84.09808333333332 -6.770702777777777 383.5
HOPS-166 5 36 25.131 - 6 44 41.83 12.9 457.1 Flat 51.1 10.0 "" "" 115.6 2.1 "" "" 2.44 "" "" "" "" "" dn 84.10471249999999 -6.744952777777778 HOPS-166 239.25 4.446 75.165 1.0 0.16 0.15 92.9 84.10471249999999 -6.744952777777778 383.5 "" "" "" "" "" "" "" "" "" "" ""
HOPS-167 5 36 19.808 - 6 46 0.82 0.1 568.6 Flat 15.0 10.4 "" "" 3.8 0.7 108.9 "" 373.0 "" "" "" "" "" du 84.08253333333332 -6.7668944444444445 HOPS-167 2.068 0.405 1.813 0.21 0.05 0.02 84.1 84.08253333333332 -6.7668944444444445 383.3 HOPS-168 "" "" "" 33.54 "" "" "" 84.08253333333332 -6.7668944444444445 383.3
HOPS-168-A 5 36 18.941 - 6 45 23.58 40.0 54.0 0 24.1 10.0 17.6 10.0 49.6 0.8 595.7 10.8 4.97 0.46 2.1 0.06 1.4 0.15 dd 84.07892083333333 -6.75655 HOPS-168 140.115 2.269 97.73 0.95 0.07 0.06 72.8 84.07892083333333 -6.75655 383.3 HOPS-168 1.154 0.021 0.846 9.1 0.05 0.04 151.9 84.078925 -6.756547222222222 383.3
HOPS-168-B 5 36 18.952 - 6 45 23.48 40.0 54.0 0 41.7 10.0 33.9 10.0 14.9 1.1 385.1 11.9 14.6 0.63 1.7 0.07 0.2 0.26 dd 84.07896666666666 -6.756522222222222 HOPS-168 42.053 3.049 20.762 0.95 0.13 0.09 127.1 84.07896666666666 -6.756522222222222 383.3 HOPS-168 0.746 0.023 0.445 9.1 0.1 0.04 4.8 84.07897499999999 -6.756522222222222 383.3
HOPS-169 5 36 36.16 - 6 38 54.35 3.3 32.5 0 53.8 10.0 29.0 10.0 118.5 2.5 275.1 22.5 3.46 1.71 2.7 0.07 1.6 0.72 dd 84.15066666666667 -6.648430555555555 HOPS-169 166.183 3.385 69.529 0.93 0.17 0.13 61.5 84.15066666666667 -6.648430555555555 384.0 HOPS-169 0.282 0.023 0.167 8.32 0.09 0.05 61.7 84.15066666666667 -6.648430555555555 384.0
HOPS-17 5 35 7.185 - 5 52 6.07 0.3 341.3 I 57.8 10.0 2.3 10.0 69.8 1.8 130.3 18.4 12.51 5.49 2.8 0.08 2.0 0.96 dd 83.77993749999999 -5.868352777777778 HOPS-17 43.928 1.131 17.133 0.3 0.17 0.1 37.2 83.77993749999999 -5.868352777777778 389.1 HOPS-18 0.068 0.007 0.054 9.74 0.01 0.01 28.5 83.77992916666666 -5.868352777777778 389.2
HOPS-170-A 5 36 41.368 - 6 34 0.75 2.1 832.5 Flat 46.7 10.0 "" "" 58.7 1.5 "" "" 8.21 "" "" "" "" "" dn 84.17236666666666 -6.566875 HOPS-170 72.401 1.823 27.765 0.46 0.14 0.14 167.0 84.17236666666666 -6.566875 384.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-170-B 5 36 41.322 - 6 33 59.26 2.1 832.5 Flat 41.1 10.0 "" "" 40.3 1.3 "" "" 12.32 "" "" "" "" "" dn 84.172175 -6.566461111111111 HOPS-170 49.727 1.66 21.891 0.46 0.13 0.12 144.6 84.172175 -6.566461111111111 384.2 "" "" "" "" "" "" "" "" "" "" ""
HOPS-171 5 36 17.208 - 6 38 1.51 1.5 61.8 0 99.3 10.0 60.2 10.0 27.1 0.9 203.5 25.9 16.03 2.46 2.2 0.08 2.4 1.07 dd 84.07169999999999 -6.633752777777778 HOPS-171 30.642 1.069 7.871 0.26 0.3 0.05 111.2 84.07169999999999 -6.633752777777778 383.4 HOPS-171 0.173 0.022 0.057 7.3 0.18 0.04 105.8 84.07169583333334 -6.633752777777778 383.4
HOPS-172 5 36 19.463 - 6 29 6.91 0.6 149.8 I 38.5 10.0 "" "" 13.4 0.9 "" "" 56.24 "" "" "" "" "" dn 84.08109583333332 -6.485252777777778 HOPS-172 11.059 0.709 5.89 0.23 0.12 0.08 105.2 84.08109583333332 -6.485252777777778 384.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-173-A 5 36 26.041 - 6 25 5.09 0.8 60.2 0 35.3 10.0 "" "" 5.1 0.7 50.6 11.5 135.75 "" 2.1 0.13 7.0 3.22 dd 84.10850416666666 -6.418080555555556 HOPS-173 4.664 0.655 2.978 0.25 0.11 0.06 48.1 84.10850416666666 -6.418080555555556 384.9 HOPS-173-380 0.036 0.008 0.034 8.38 0.0 0.0 0.0 84.10851249999999 -6.418083333333334 384.9
HOPS-173-B 5 36 26.051 - 6 25 5.31 0.8 60.2 0 "" "" "" "" 3.0 0.6 49.2 11.5 "" "" 1.9 0.14 -2.8 3.18 dd 84.10854583333332 -6.418141666666667 HOPS-173 2.791 0.527 2.028 0.25 0.0 0.0 0.0 84.10854583333332 -6.418141666666667 384.9 HOPS-173-380 0.035 0.008 0.033 8.39 0.0 0.0 0.0 84.10855 -6.418147222222222 384.9
HOPS-174 5 36 25.868 - 6 24 58.67 1.7 350.3 Flat 51.3 10.0 "" "" 67.0 1.5 131.2 9.4 7.52 "" 2.8 0.07 3.1 0.63 dd 84.10778333333332 -6.416297222222223 HOPS-174 76.961 1.7 26.505 0.39 0.16 0.15 128.1 84.10778333333332 -6.416297222222223 384.9 HOPS-173-380 0.113 0.008 0.094 8.34 0.0 0.0 0.0 84.10778333333332 -6.416300000000001 384.9
HOPS-175 "" "" 0.0 "" "" "" 0.0 0.3 104.3 I "" "" "" "" 1.0 "" 54.9 "" "" "" "" "" "" "" uu "" "" HOPS-175 "" "" "" 0.21 "" "" "" "" "" 384.9 HOPS-173-380 "" "" "" 12.6 "" "" "" "" "" 384.9
HOPS-176 5 36 23.603 - 6 24 51.48 1.3 312.2 Flat 59.5 32.7 20.9 10.0 1.8 0.7 246.3 39.3 285.41 2.56 1.0 0.18 -0.2 0.95 dd 84.09834583333333 -6.414300000000001 HOPS-176 1.955 0.754 1.354 0.32 0.18 0.09 148.5 84.09834583333333 -6.414300000000001 384.9 HOPS-173-380 0.198 0.021 0.136 12.33 0.06 0.05 160.7 84.09834583333333 -6.4143083333333335 384.9
HOPS-177 5 35 50.017 - 6 34 53.47 0.4 84.7 I 63.2 24.8 "" "" 3.9 1.0 "" "" 196.72 "" "" "" "" "" dn 83.95840416666667 -6.581519444444444 HOPS-177 2.812 0.751 2.023 0.33 0.19 0.03 26.4 83.95840416666667 -6.581519444444444 383.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-178 5 36 24.622 - 6 22 41.14 16.8 155.1 I 34.3 10.0 "" "" 19.8 0.4 "" "" 14.57 "" "" "" "" "" dn 84.10259166666665 -6.378094444444444 HOPS-178 43.686 0.934 29.371 0.38 0.1 0.05 60.4 84.10259166666665 -6.378094444444444 385.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-179 5 36 21.876 - 6 23 29.91 1.6 467.5 Flat 42.5 10.0 "" "" 86.9 1.7 "" "" 6.21 "" "" "" "" "" dn 84.09115 -6.391641666666667 HOPS-179 97.468 1.95 41.178 0.55 0.13 0.12 56.0 84.09115 -6.391641666666667 385.0 "" "" "" "" "" "" "" "" "" "" ""
HOPS-18 5 35 5.515 - 5 51 54.42 1.2 71.8 I 89.2 10.0 28.8 10.0 34.3 1.3 284.5 29.6 13.99 2.13 2.2 0.08 0.4 0.86 dd 83.77297916666666 -5.865116666666666 HOPS-18 35.09 1.329 12.959 0.35 0.27 0.07 161.4 83.77297916666666 -5.865116666666666 389.2 HOPS-18 0.221 0.023 0.117 7.1 0.09 0.07 86.9 83.7729625 -5.865125 389.2
HOPS-181-A 5 36 19.504 - 6 22 11.99 5.2 131.3 I "" "" 14.1 10.0 5.3 0.6 282.4 14.5 "" 1.67 1.4 0.08 0.4 0.4 dd 84.08126666666666 -6.369997222222222 HOPS-181 8.424 0.947 7.704 0.51 0.0 0.0 0.0 84.08126666666666 -6.369997222222222 385.1 HOPS-182 0.324 0.016 0.26 7.71 0.04 0.04 87.4 84.08127499999999 -6.370002777777778 385.1
HOPS-181-B 5 36 19.655 - 6 22 8.95 5.2 131.3 I 36.0 10.0 "" "" 12.1 1.0 21.2 "" 32.73 "" "" "" "" "" du 84.08189583333333 -6.369152777777777 HOPS-181 19.232 1.447 11.437 0.59 0.11 0.08 139.7 84.08189583333333 -6.369152777777777 385.1 HOPS-182 "" "" "" 8.61 "" "" "" 84.08189583333333 -6.369152777777777 385.1
HOPS-182-A 5 36 18.795 - 6 22 10.21 59.8 51.9 0 69.7 10.0 38.3 10.0 238.1 2.6 338.7 13.7 0.72 0.64 3.0 0.06 3.0 0.36 dd 84.0783125 -6.369502777777777 HOPS-182 741.927 7.967 192.971 1.63 0.21 0.16 150.8 84.0783125 -6.369502777777777 385.1 HOPS-182 0.719 0.029 0.299 7.4 0.12 0.09 10.2 84.07832083333332 -6.369508333333333 385.1
HOPS-182-B 5 36 18.775 - 6 22 11.15 59.8 51.9 0 36.3 10.0 20.3 10.0 35.7 1.3 576.2 9.0 5.65 0.42 1.9 0.06 1.2 0.13 dd 84.07822916666666 -6.369763888888889 HOPS-182 111.168 4.084 71.782 1.65 0.11 0.06 79.4 84.07822916666666 -6.369763888888889 385.1 HOPS-182 1.223 0.019 0.804 7.41 0.06 0.05 86.4 84.07823333333333 -6.369769444444444 385.1
HOPS-182-C 5 36 18.478 - 6 22 13.62 59.8 51.9 0 21.3 12.8 18.0 10.0 5.5 1.5 80.1 7.7 41.63 3.05 2.0 0.11 2.5 0.83 dd 84.07699166666666 -6.37045 HOPS-182 17.028 3.435 13.768 2.29 0.07 0.04 127.1 84.07699166666666 -6.37045 385.1 HOPS-182 0.17 0.016 0.128 7.52 0.06 0.03 162.1 84.077 -6.370455555555555 385.1
HOPS-183-A "" "" 0.0 "" "" "" 0.0 0.2 224.5 Flat "" "" 22.2 10.0 1.2 "" 419.6 37.2 "" 2.26 "" "" 1.0 0.59 ud "" "" HOPS-183 "" "" "" 0.24 "" "" "" "" "" 385.1 HOPS-182 0.222 0.016 0.167 9.11 0.07 0.02 30.0 84.07447083333334 -6.374419444444444 385.1
HOPS-183-B 5 36 17.912 - 6 22 27.25 0.2 224.5 Flat 28.5 15.7 "" "" 3.3 0.8 59.0 "" 317.17 "" "" "" "" "" du 84.07463333333332 -6.37423611111111 HOPS-183 2.095 0.53 1.847 0.25 0.09 0.03 117.6 84.07463333333332 -6.37423611111111 385.1 HOPS-182 "" "" "" 12.61 "" "" "" 84.07463333333332 -6.37423611111111 385.1
HOPS-185 5 36 36.969 - 6 14 58.78 0.9 96.9 I 89.2 10.0 "" "" 22.9 1.2 "" "" 23.14 "" "" "" "" "" dn 84.15403749999999 -6.249661111111111 HOPS-185 21.563 1.128 7.235 0.26 0.27 0.1 94.9 84.15403749999999 -6.249661111111111 386.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-186 5 35 47.306 - 6 26 14.71 0.4 72.3 I 166.5 10.0 70.5 15.0 75.8 2.5 345.8 66.5 7.43 1.99 2.4 0.1 -1.1 1.58 dd 83.94710833333332 -6.437419444444445 HOPS-186 56.63 1.856 8.001 0.3 0.51 0.1 132.3 83.94710833333332 -6.437419444444445 384.3 HOPS-186 0.208 0.04 0.056 7.2 0.22 0.1 131.1 83.94710833333332 -6.437425 384.3
HOPS-187 "" "" 0.0 "" "" "" 0.0 0.2 1210.9 Flat "" "" "" "" 1.0 "" "" "" "" "" "" "" "" "" un "" "" HOPS-187 "" "" "" 0.2 "" "" "" "" "" 384.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-188 5 35 29.844 - 6 26 58.13 15.7 103.3 I 124.6 10.0 35.9 10.0 310.9 6.5 918.1 17.1 0.68 0.33 2.6 0.06 2.2 0.16 dd 83.87434999999999 -6.449480555555556 HOPS-188 677.581 14.169 100.838 1.87 0.38 0.22 75.0 83.87434999999999 -6.449480555555556 384.2 HOPS-188 1.399 0.026 0.694 7.7 0.11 0.08 64.0 83.87435416666665 -6.449488888888889 384.2
HOPS-189 5 35 30.921 - 6 26 32.0 1.0 133.1 I 25.8 10.0 "" "" 5.3 0.6 41.5 "" 128.12 "" "" "" "" "" du 83.8788375 -6.442222222222222 HOPS-189 5.326 0.574 3.93 0.25 0.08 0.05 31.2 83.8788375 -6.442222222222222 384.3 HOPS-188 "" "" "" 15.67 "" "" "" 83.8788375 -6.442222222222222 384.2
HOPS-19 "" "" 0.0 "" "" "" 0.0 0.2 101.6 Flat "" "" "" "" 1.2 "" "" "" "" "" "" "" "" "" un "" "" HOPS-19 "" "" "" 0.21 "" "" "" "" "" 389.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-190 "" "" 0.0 "" "" "" 0.0 0.3 385.3 I "" "" "" "" 1.0 "" 47.8 "" "" "" "" "" "" "" uu "" "" HOPS-190 "" "" "" 0.23 "" "" "" "" "" 384.2 HOPS-188 "" "" "" 10.7 "" "" "" "" "" 384.2
HOPS-191 5 36 17.273 - 6 11 11.21 0.5 196.7 I 16.1 10.0 "" "" 10.1 0.6 "" "" 94.24 "" "" "" "" "" dn 84.07197083333332 -6.186447222222222 HOPS-191 7.927 0.488 6.844 0.25 0.05 0.02 139.2 84.07197083333332 -6.186447222222222 386.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-192 5 36 32.472 - 6 1 16.45 1.2 202.5 Flat 36.2 10.0 "" "" 35.2 1.0 "" "" 17.2 "" "" "" "" "" dn 84.13529999999999 -6.0212361111111115 HOPS-192 36.026 1.018 18.905 0.34 0.11 0.09 31.5 84.13529999999999 -6.0212361111111115 387.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-193-A 5 36 30.282 - 6 1 17.11 1.0 226.7 I 17.5 10.0 "" "" 9.1 0.5 "" "" 82.78 "" "" "" "" "" dn 84.12617499999999 -6.021419444444445 HOPS-193 8.812 0.529 7.363 0.26 0.05 0.04 16.5 84.12617499999999 -6.021419444444445 387.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-193-B 5 36 30.283 - 6 1 17.37 1.0 226.7 I 17.5 10.0 "" "" 9.0 0.5 "" "" 84.06 "" "" "" "" "" dn 84.12617916666666 -6.021491666666667 HOPS-193 8.678 0.515 7.336 0.26 0.05 0.02 149.1 84.12617916666666 -6.021491666666667 387.8 "" "" "" "" "" "" "" "" "" "" ""
HOPS-194 5 35 52.027 - 6 10 1.67 10.8 645.0 Flat 63.4 10.0 "" "" 139.6 2.8 "" "" 2.01 "" "" "" "" "" dn 83.96677916666667 -6.167130555555556 HOPS-194 270.494 5.458 81.15 1.12 0.19 0.17 86.5 83.96677916666667 -6.167130555555556 386.6 "" "" "" "" "" "" "" "" "" "" ""
HOPS-197 5 34 15.897 - 6 34 32.66 0.2 506.6 Flat 20.9 10.0 "" "" 7.6 1.0 "" "" 165.68 "" "" "" "" "" dn 83.5662375 -6.575738888888889 HOPS-197 4.295 0.566 3.358 0.25 0.06 0.06 21.8 83.5662375 -6.575738888888889 385.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-198 5 35 22.196 - 6 13 6.14 0.7 61.4 0 134.1 10.0 61.0 10.0 63.5 1.8 314.4 0.0 7.91 1.93 2.4 0.06 2.0 0.0 dd 83.84248333333333 -6.218372222222222 HOPS-198 56.256 1.643 10.411 0.32 0.41 0.07 158.4 83.84248333333333 -6.218372222222222 386.0 HOPS-198 0.217 0.0 0.054 9.2 0.19 0.13 156.2 83.84249166666666 -6.218377777777778 386.0
HOPS-199 5 34 39.887 - 6 25 14.02 0.2 576.7 Flat 296.1 23.6 "" "" 59.8 4.3 "" "" 10.72 "" "" "" "" "" dn 83.66619583333333 -6.420561111111112 HOPS-199 32.335 2.335 3.946 0.26 0.91 0.14 38.7 83.66619583333333 -6.420561111111112 385.3 "" "" "" "" "" "" "" "" "" "" ""
HOPS-2 5 54 9.137 + 1 42 51.7 0.4 356.5 I 21.6 10.0 "" "" 10.5 0.6 "" "" 91.63 "" "" "" "" "" dn 88.53807083333334 1.714361111111111 HOPS-2 8.954 0.52 7.107 0.24 0.07 0.04 162.4 88.53807083333334 1.714361111111111 357.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-20-A 5 33 30.704 - 5 50 41.29 1.1 94.8 I 17.2 10.0 "" "" 6.8 0.5 92.1 9.3 108.48 "" 2.0 0.08 3.6 0.95 dd 83.37793333333333 -5.844802777777778 HOPS-20 6.705 0.464 6.012 0.23 0.05 0.03 59.5 83.37793333333333 -5.844802777777778 389.1 HOPS-20 0.069 0.007 0.068 6.9 0.0 0.0 0.0 83.3779375 -5.844802777777778 389.1
HOPS-20-B "" "" 0.0 "" "" "" 0.0 1.1 94.8 I "" "" "" "" 0.7 "" 29.4 9.3 "" "" "" "" 5.9 3.78 ud "" "" HOPS-20 "" "" "" 0.23 "" "" "" "" "" 389.1 HOPS-20 0.022 0.007 0.033 6.9 0.0 0.0 0.0 83.37796666666667 -5.844794444444444 389.1
HOPS-200 5 35 33.214 - 6 6 9.62 0.2 244.4 Flat 150.5 10.0 "" "" 117.1 3.6 "" "" 5.83 "" "" "" "" "" dn 83.88839166666666 -6.102672222222222 HOPS-200 73.37 2.275 13.325 0.33 0.46 0.16 84.1 83.88839166666666 -6.102672222222222 387.1 "" "" "" "" "" "" "" "" "" "" ""
HOPS-203-A 5 36 22.865 - 6 46 6.63 17.0 43.7 0 58.6 10.0 61.9 10.0 27.6 0.5 637.6 14.1 9.14 0.43 1.8 0.06 -0.0 0.18 dd 84.09527083333333 -6.768508333333333 HOPS-203 61.725 1.102 28.566 0.34 0.18 0.07 50.2 84.09527083333333 -6.768508333333333 383.5 HOPS-203 0.995 0.022 0.382 5.7 0.19 0.05 142.9 84.09527083333333 -6.768508333333333 383.5
HOPS-203-B 5 36 22.862 - 6 46 6.75 17.0 43.7 0 "" "" "" "" 3.5 0.1 87.2 3.8 "" "" 1.7 0.07 2.2 0.38 dd 84.09525833333333 -6.768541666666667 HOPS-203 7.869 0.333 20.915 0.34 0.0 0.0 0.0 84.09525833333333 -6.768541666666667 383.5 HOPS-203 0.136 0.006 0.192 5.7 0.0 0.0 0.0 84.09525 -6.768538888888889 383.5
HOPS-203-C 5 36 22.898 - 6 46 9.47 17.0 43.7 0 30.9 10.0 18.9 10.0 33.1 0.4 346.7 8.4 8.88 0.96 2.1 0.06 1.8 0.21 dd 84.09540833333332 -6.769297222222222 HOPS-203 74.079 0.838 48.343 0.37 0.1 0.06 175.4 84.09540833333332 -6.769297222222222 383.5 HOPS-203 0.541 0.013 0.386 5.73 0.06 0.06 90.9 84.09540833333332 -6.769302777777778 383.5
HOPS-204 5 43 10.185 - 8 46 7.86 1.4 85.4 I 27.7 10.0 "" "" 71.9 1.3 "" "" 8.48 "" "" "" "" "" dn 85.7924375 -8.76885 HOPS-204 61.691 1.101 44.69 0.48 0.07 0.06 87.0 85.7924375 -8.76885 435.4 "" "" "" "" "" "" "" "" "" "" ""
HOPS-206 5 43 7.293 - 8 44 31.27 2.5 65.1 0 32.9 10.0 "" "" 21.0 0.6 164.2 18.8 23.81 "" 2.2 0.08 2.8 0.93 dd 85.7803875 -8.742019444444443 HOPS-206 21.136 0.654 15.31 0.28 0.09 0.04 18.9 85.7803875 -8.742019444444443 435.2 HOPS-206 0.122 0.014 0.118 8.0 0.0 0.0 0.0 85.78038333333335 -8.742016666666666 435.2
